,alias,total,remuneration,employability,jobSatisfaction,workLifeBalance,diversityInTasks,careerProgressionOpportunities,__typename
297,bank-teller,22.0,3.5,3.7,3.5,3.8,3.5,3.5,RoleReviewStats
298,lending-manager,3.0,4.3,4.3,4.0,4.0,4.0,4.0,RoleReviewStats
299,settlements-manager,,,,,,,,
300,compliance-analyst,3.0,4.3,4.7,4.3,4.7,4.7,4.3,RoleReviewStats
301,settlements-officer,5.0,3.2,3.8,4.0,3.6,3.8,3.8,RoleReviewStats
302,loans-officer,1.0,3.0,2.0,3.0,4.0,2.0,2.0,RoleReviewStats
303,compliance-specialist,2.0,3.5,3.5,4.5,4.5,3.0,4.0,RoleReviewStats
304,solutions-associate,,,,,,,,
305,finance-broker,4.0,3.8,3.0,4.3,4.0,4.0,4.0,RoleReviewStats
306,investment-analyst,2.0,4.5,2.5,5.0,5.0,4.0,5.0,RoleReviewStats
307,mergers-and-acquisitions-manager,,,,,,,,
308,anti-money-laundering-analyst,2.0,3.0,4.0,4.5,3.5,4.0,3.5,RoleReviewStats
309,assurance-manager,,,,,,,,
310,processing-administrator,,,,,,,,
311,compliance-manager,35.0,3.2,3.3,3.7,3.7,3.9,3.4,RoleReviewStats
312,risk-specialist,,,,,,,,
313,complaints-manager,,,,,,,,
314,fund-accountant,5.0,3.0,4.0,3.6,4.6,3.2,3.2,RoleReviewStats
315,support-executive,,,,,,,,
316,financial-consultant,4.0,3.5,4.0,4.3,4.5,4.8,4.0,RoleReviewStats
317,fund-manager,3.0,4.3,4.3,4.3,3.3,4.0,4.0,RoleReviewStats
318,investment-specialist,,,,,,,,
319,lending-consultant,3.0,3.3,3.3,3.0,3.0,3.0,3.0,RoleReviewStats
320,risk-and-compliance-manager,4.0,4.3,4.0,4.3,4.5,4.5,4.0,RoleReviewStats
321,management-analyst,,,,,,,,
322,risk-manager,7.0,3.1,3.7,3.4,4.0,3.3,3.1,RoleReviewStats
323,systems-consultant,1.0,4.0,4.0,5.0,4.0,4.0,4.0,RoleReviewStats
324,performance-officer,,,,,,,,
325,risk-analyst,10.0,3.3,3.3,3.5,3.9,3.2,3.1,RoleReviewStats
326,governance-analyst,,,,,,,,
327,assurance-specialist,,,,,,,,
328,risk-adviser,1.0,4.0,4.0,3.0,4.0,3.0,4.0,RoleReviewStats
329,solutions-officer,,,,,,,,
330,settlements-administrator,,,,,,,,
331,assurance-analyst,,,,,,,,
332,risk-officer,5.0,3.2,4.2,4.0,4.2,4.2,3.4,RoleReviewStats
333,credit-manager,7.0,3.7,3.6,3.3,3.0,3.9,2.6,RoleReviewStats
334,enforcement-officer,,,,,,,,
335,finance-specialist,1.0,1.0,1.0,1.0,2.0,1.0,3.0,RoleReviewStats
336,analytics-analyst,,,,,,,,
337,fund-analyst,,,,,,,,
338,credit-specialist,1.0,2.0,4.0,3.0,4.0,4.0,2.0,RoleReviewStats
339,client-services-officer,80.0,3.5,3.8,3.5,4.0,3.5,3.4,RoleReviewStats
340,client-services-manager,17.0,3.2,3.5,3.6,3.8,3.5,3.1,RoleReviewStats
341,intelligence-officer,1.0,5.0,5.0,4.0,5.0,5.0,5.0,RoleReviewStats
342,management-professional,,,,,,,,
343,compliance-officer,43.0,3.4,3.6,3.7,3.8,3.6,3.3,RoleReviewStats
344,control-specialist,,,,,,,,
345,reporting-officer,,,,,,,,
346,portfolio-analyst,2.0,5.0,4.0,4.5,4.5,3.5,4.5,RoleReviewStats
347,governance-manager,,,,,,,,
348,performance-specialist,,,,,,,,
349,trader,4.0,3.8,2.8,4.0,2.8,2.8,4.0,RoleReviewStats
350,implementation-officer,,,,,,,,
351,analyst,39.0,3.4,3.5,3.6,4.1,3.2,3.5,RoleReviewStats
352,trading-analyst,,,,,,,,
353,finance-consultant,2.0,3.5,5.0,3.5,2.5,3.0,2.5,RoleReviewStats
354,contact-centre-adviser,,,,,,,,
355,monitoring-officer,2.0,3.0,3.0,3.5,5.0,3.0,3.0,RoleReviewStats
356,response-officer,1.0,4.0,4.0,3.0,3.0,3.0,3.0,RoleReviewStats
357,car-parking-attendant,4.0,4.0,3.0,3.5,4.5,2.8,2.8,RoleReviewStats
358,banker,8.0,3.4,3.6,3.3,2.8,3.6,3.6,RoleReviewStats
359,customer-service-call-centre-representative,39.0,3.2,3.0,3.0,3.5,2.8,3.0,RoleReviewStats
360,contact-centre-manager,6.0,4.2,3.8,4.5,4.0,4.5,4.0,RoleReviewStats
361,contact-centre-team-leader,3.0,2.0,4.7,3.0,3.0,3.3,3.0,RoleReviewStats
362,call-centre-operator,67.0,3.6,3.7,3.6,3.8,3.1,3.4,RoleReviewStats
363,service-associate,,,,,,,,
364,appointment-setter,12.0,3.8,3.2,3.8,3.8,2.8,3.3,RoleReviewStats
365,resolutions-officer,1.0,4.0,3.0,2.0,3.0,2.0,2.0,RoleReviewStats
366,contact-centre-specialist,1.0,2.0,2.0,2.0,2.0,1.0,1.0,RoleReviewStats
367,customer-service-adviser,9.0,3.9,4.3,4.2,4.4,3.7,4.1,RoleReviewStats
368,contact-representative,,,,,,,,
