,id,role_id,alias,title,roleReviewStatistics,growth,industry,salarySuggestion.locationName,salarySuggestion.suggestion.min,salarySuggestion.suggestion.max,salarySuggestion.salary_min,salarySuggestion.salary_max,salarySuggestion.salary_median,salarySuggestion.__typename,roleReviewStatistics.jobSatisfaction,roleReviewStatistics.__typename,growth.value,growth.__typename,salarySuggestion
104,planning-administrator,planning-administrator,planning-administrator,Planning Administrator,,,administration-office-support,Australia,50000.0,95000.0,65000.0,80000.0,70000.0,SalarySuggestion,,,,,
105,services-clerk,services-clerk,services-clerk,Services Clerk,,,administration-office-support,Australia,50000.0,65000.0,55000.0,60000.0,57500.0,SalarySuggestion,4.0,RoleReviewStats,2.2,Growth,
106,management-administrator,management-administrator,management-administrator,Management Administrator,,,administration-office-support,Australia,50000.0,95000.0,65000.0,80000.0,72500.0,SalarySuggestion,,,,,
107,office-manager,office-manager,office-manager,Office Manager,,,administration-office-support,Australia,60000.0,105000.0,75000.0,90000.0,80000.0,SalarySuggestion,4.0,RoleReviewStats,4.9,Growth,
108,office-assistant,office-assistant,office-assistant,Office Assistant,,,administration-office-support,Australia,35000.0,80000.0,50000.0,65000.0,56000.0,SalarySuggestion,3.7,RoleReviewStats,12.9,Growth,
109,personal-assistant,personal-assistant,personal-assistant,Personal Assistant,,,administration-office-support,Australia,60000.0,105000.0,75000.0,90000.0,82500.0,SalarySuggestion,4.1,RoleReviewStats,-0.1,Growth,
110,operations-administration-officer,operations-administration-officer,operations-administration-officer,Operations Administration Officer,,,administration-office-support,Australia,45000.0,90000.0,60000.0,75000.0,65750.0,SalarySuggestion,,,,,
111,document-controller,document-controller,document-controller,Document Controller,,,administration-office-support,Australia,65000.0,125000.0,85000.0,105000.0,95000.0,SalarySuggestion,4.1,RoleReviewStats,,,
112,office-allrounder,office-allrounder,office-allrounder,Office Allrounder,,,administration-office-support,Australia,40000.0,70000.0,50000.0,60000.0,57500.0,SalarySuggestion,5.0,RoleReviewStats,,,
113,office-clerk,office-clerk,office-clerk,Office Clerk,,,administration-office-support,Australia,50000.0,65000.0,55000.0,60000.0,55000.0,SalarySuggestion,3.0,RoleReviewStats,,,
114,relationship-assistant,relationship-assistant,relationship-assistant,Relationship Assistant,,,administration-office-support,,,,,,,,,,,,
115,data-entry-clerk,data-entry-clerk,data-entry-clerk,Data Entry Clerk,,,administration-office-support,Australia,50000.0,65000.0,55000.0,60000.0,57250.0,SalarySuggestion,4.1,RoleReviewStats,,,
116,data-entry-operator,data-entry-operator,data-entry-operator,Data Entry Operator,,,administration-office-support,Australia,45000.0,75000.0,55000.0,65000.0,60000.0,SalarySuggestion,4.0,RoleReviewStats,12.9,Growth,
117,office-coordinator,office-coordinator,office-coordinator,Office Coordinator,,,administration-office-support,Australia,55000.0,85000.0,65000.0,75000.0,70000.0,SalarySuggestion,4.2,RoleReviewStats,,,
118,administration-support-officer,administration-support-officer,administration-support-officer,Administration Support Officer,,,administration-office-support,Australia,50000.0,80000.0,60000.0,70000.0,65000.0,SalarySuggestion,3.9,RoleReviewStats,12.9,Growth,
119,administration-clerk,administration-clerk,administration-clerk,Administration Clerk,,,administration-office-support,Australia,50000.0,65000.0,55000.0,60000.0,57500.0,SalarySuggestion,3.7,RoleReviewStats,,,
120,support-administrator,support-administrator,support-administrator,Support Administrator,,,administration-office-support,Australia,50000.0,95000.0,65000.0,80000.0,70000.0,SalarySuggestion,4.0,RoleReviewStats,,,
121,receptionist,receptionist,receptionist,Receptionist,,,administration-office-support,Australia,45000.0,75000.0,55000.0,65000.0,57500.0,SalarySuggestion,3.9,RoleReviewStats,2.1,Growth,
122,centre-administrator,centre-administrator,centre-administrator,Centre Administrator,,,administration-office-support,Australia,45000.0,90000.0,60000.0,75000.0,67500.0,SalarySuggestion,3.0,RoleReviewStats,,,
123,sales-administration-officer,sales-administration-officer,sales-administration-officer,Sales Administration Officer,,,administration-office-support,Australia,50000.0,80000.0,60000.0,70000.0,65000.0,SalarySuggestion,4.3,RoleReviewStats,,,
124,administration-officer,administration-officer,administration-officer,Administration Officer,,,administration-office-support,Australia,50000.0,80000.0,60000.0,70000.0,64000.0,SalarySuggestion,3.9,RoleReviewStats,4.9,Growth,
125,archivist,archivist,archivist,Archivist,,,administration-office-support,Australia,65000.0,110000.0,80000.0,95000.0,86330.0,SalarySuggestion,4.3,RoleReviewStats,2.1,Growth,
126,records-officer,records-officer,records-officer,Records Officer,,,administration-office-support,Australia,45000.0,105000.0,65000.0,85000.0,68913.0,SalarySuggestion,4.4,RoleReviewStats,2.1,Growth,
127,administration-specialist,administration-specialist,administration-specialist,Administration Specialist,,,administration-office-support,Australia,55000.0,85000.0,65000.0,75000.0,68750.0,SalarySuggestion,4.5,RoleReviewStats,,,
128,administration-manager,administration-manager,administration-manager,Administration Manager,,,administration-office-support,Australia,55000.0,115000.0,75000.0,95000.0,85000.0,SalarySuggestion,4.1,RoleReviewStats,13.6,Growth,
129,team-administrator,team-administrator,team-administrator,Team Administrator,,,administration-office-support,Australia,60000.0,90000.0,70000.0,80000.0,72500.0,SalarySuggestion,4.3,RoleReviewStats,,,
130,typist,typist,typist,Typist,,,administration-office-support,,,,,,,,4.0,RoleReviewStats,,,
131,site-administrator,site-administrator,site-administrator,Site Administrator,,,administration-office-support,Australia,55000.0,115000.0,75000.0,95000.0,81744.0,SalarySuggestion,4.4,RoleReviewStats,9.3,Growth,
132,fulfilment-specialist,fulfilment-specialist,fulfilment-specialist,Fulfilment Specialist,,,administration-office-support,Australia,45000.0,75000.0,55000.0,65000.0,57500.0,SalarySuggestion,,,,,
133,business-administrator,business-administrator,business-administrator,Business Administrator,,,administration-office-support,Australia,55000.0,85000.0,65000.0,75000.0,68750.0,SalarySuggestion,3.9,RoleReviewStats,13.6,Growth,
134,customer-service-administrator,customer-service-administrator,customer-service-administrator,Customer Service Administrator,,,administration-office-support,Australia,45000.0,75000.0,55000.0,65000.0,60000.0,SalarySuggestion,3.5,RoleReviewStats,,,
135,secretariat,secretariat,secretariat,Secretariat,,,administration-office-support,Australia,75000.0,120000.0,90000.0,105000.0,90000.0,SalarySuggestion,5.0,RoleReviewStats,,,
136,office-administrator,office-administrator,office-administrator,Office Administrator,,,administration-office-support,Australia,50000.0,80000.0,60000.0,70000.0,65000.0,SalarySuggestion,3.9,RoleReviewStats,4.9,Growth,
137,administration-coordinator,administration-coordinator,administration-coordinator,Administration Coordinator,,,administration-office-support,Australia,55000.0,85000.0,65000.0,75000.0,67500.0,SalarySuggestion,4.1,RoleReviewStats,,,
138,hire-coordinator,hire-coordinator,hire-coordinator,Hire Coordinator,,,administration-office-support,Australia,70000.0,85000.0,75000.0,80000.0,76500.0,SalarySuggestion,3.0,RoleReviewStats,,,
139,team-coordinator,team-coordinator,team-coordinator,Team Coordinator,,,administration-office-support,Australia,55000.0,115000.0,75000.0,95000.0,82500.0,SalarySuggestion,4.7,RoleReviewStats,,,
140,office-supervisor,office-supervisor,office-supervisor,Office Supervisor,,,administration-office-support,Australia,50000.0,95000.0,65000.0,80000.0,74999.0,SalarySuggestion,5.0,RoleReviewStats,,,
141,business-support-officer,business-support-officer,business-support-officer,Business Support Officer,,,administration-office-support,Australia,45000.0,105000.0,65000.0,85000.0,75000.0,SalarySuggestion,4.0,RoleReviewStats,,,
142,secretary,secretary,secretary,Secretary,,,administration-office-support,Australia,50000.0,110000.0,70000.0,90000.0,77500.0,SalarySuggestion,3.8,RoleReviewStats,-19.6,Growth,
143,sales-administrator,sales-administrator,sales-administrator,Sales Administrator,,,administration-office-support,Australia,45000.0,90000.0,60000.0,75000.0,65000.0,SalarySuggestion,4.2,RoleReviewStats,,,
